XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
14.0,31300.0,44676.0,134377.0,4433.0,6273.0,18738.0,10.0,172200.0,59300.0,13871.0,34440.0,11860.0,2774.0,9.0,102520.0,22538.0,5.0,166300.0,65600.0,Galvez,2,2023-09-15,Enkoll,26
18.0,33521.0,54369.0,180167.0,3835.0,5907.0,18897.0,16.0,295300.0,103346.0,17176.0,35704.0,12101.0,2268.0,8.0,80583.0,20146.0,7.0,490100.0,116320.0,Galvez,2,2023-09-16,GEA-ISA,34
30.0,16476.0,29425.0,98910.0,1113.0,2007.0,6749.0,24.0,127200.0,29971.0,7719.0,10929.0,2616.0,669.0,25.0,113562.0,9226.0,1.0,21600.0,21600.0,Galvez,2,2023-10-15,Covarrubias,21
24.0,12965.0,27287.0,93970.0,1067.0,2267.0,7823.0,20.0,120500.0,29770.0,8568.0,11736.0,2860.0,843.0,19.0,93731.0,9765.0,1.0,32000.0,32000.0,Galvez,2,2023-10-16,El FInanciero,28
21.0,11683.0,23467.0,77346.0,1123.0,2237.0,7348.0,17.0,92200.0,19833.0,6107.0,10988.0,2374.0,719.0,13.0,61090.0,9480.0,4.0,70400.0,44800.0,Galvez,2,2023-10-17,Enkoll,27
41.0,15639.0,37802.0,101073.0,957.0,1994.0,5619.0,16.0,106800.0,27057.0,6281.0,13350.0,3382.0,785.0,12.0,59095.0,9847.0,6.0,126800.0,42267.0,Galvez,2,2023-10-18,Mendoza Blanco,24
42.0,16868.0,39128.0,102056.0,1008.0,2010.0,5392.0,19.0,98600.0,25471.0,7175.0,10781.0,2820.0,767.0,15.0,77057.0,10248.0,20.0,133457.0,32117.0,Galvez,2,2023-10-19,Mitofsky,27
27.0,17860.0,33354.0,100200.0,1341.0,2447.0,7280.0,27.0,163000.0,46714.0,11879.0,11474.0,3222.0,851.0,21.0,87796.0,8799.0,19.0,98857.0,29550.0,Galvez,2,2023-10-20,Parametría,17
31.0,15958.0,34152.0,101564.0,1022.0,2191.0,6503.0,28.0,202000.0,55933.0,12985.0,14381.0,3910.0,914.0,22.0,96816.0,9210.0,3.0,108900.0,82000.0,Galvez,2,2023-10-21,Simo,22
20.0,12084.0,34002.0,97624.0,1208.0,3400.0,9762.0,19.0,85100.0,15461.0,5649.0,8970.0,1634.0,598.0,14.0,59949.0,8564.0,5.0,27207.0,10582.0,Galvez,2,2023-11-15,Buendía y Márquez,24
26.0,16224.0,43587.0,126641.0,1207.0,3388.0,9693.0,24.0,116800.0,26665.0,7247.0,9591.0,2120.0,594.0,17.0,58375.0,6769.0,7.0,41948.0,12136.0,Galvez,2,2023-11-16,Covarrubias,22
24.0,25918.0,42962.0,125041.0,2547.0,3752.0,10678.0,22.0,104300.0,27457.0,6609.0,9121.0,2408.0,582.0,14.0,59047.0,9264.0,6.0,38637.0,12879.0,Galvez,2,2023-11-17,Demotecnia,14
19.0,20880.0,35483.0,97900.0,2404.0,3808.0,10461.0,20.0,84890.0,20072.0,5344.0,8374.0,2020.0,531.0,10.0,49656.0,10142.0,10.0,71129.0,13753.0,Galvez,2,2023-11-18,El Financiero,31
18.0,12200.0,31608.0,92900.0,1429.0,3559.0,10565.0,19.0,82990.0,17115.0,4990.0,8660.0,1747.0,517.0,12.0,57002.0,9500.0,8.0,61420.0,16614.0,Galvez,2,2023-11-19,Enkoll,23
19.0,52728.0,37588.0,112908.0,4760.0,3918.0,11838.0,20.0,131594.0,25040.0,6601.0,12054.0,2282.0,619.0,16.0,100801.0,12063.0,6.0,86875.0,24692.0,Galvez,2,2023-11-20,Mendoza Blanco,24
23.0,54165.0,53888.0,156233.0,4571.0,4714.0,13657.0,21.0,178394.0,34549.0,11793.0,17381.0,3374.0,1238.0,20.0,138265.0,13826.0,10.0,350462.0,70092.0,Galvez,2,2023-11-21,Mitofsky,27
26.0,14874.0,55139.0,157979.0,1176.0,4391.0,12571.0,20.0,176500.0,29509.0,13648.0,17879.0,3080.0,1424.0,20.0,118888.0,11889.0,6.0,283848.0,65662.0,Galvez,2,2023-11-22,Parametría,25
29.0,13545.0,43070.0,126667.0,933.0,2954.0,8696.0,18.0,125500.0,18857.0,8704.0,12550.0,1925.0,887.0,17.0,83672.0,9738.0,2.0,25468.0,25468.0,Galvez,2,2023-11-23,Reforma,25
14.0,12776.0,38413.0,93107.0,1853.0,5566.0,13387.0,12.0,405800.0,130884.0,14122.0,67633.0,21814.0,2354.0,10.0,54663.0,11462.0,4.0,189658.0,134325.0,Galvez,2,2023-12-15,Berumen,27
12.0,12434.0,38340.0,177873.0,2072.0,6390.0,29646.0,9.0,247900.0,76642.0,9919.0,48817.0,14640.0,2130.0,9.0,62849.0,13671.0,5.0,131926.0,52130.0,Galvez,2,2023-12-16,Covarrubias,22
12.0,12544.0,32717.0,171806.0,2091.0,5453.0,28634.0,7.0,113300.0,29100.0,5778.0,32075.0,8208.0,1683.0,13.0,87758.0,13577.0,4.0,67071.0,33536.0,Galvez,2,2023-12-17,Demotecnia,13
12.0,12995.0,28017.0,74206.0,2166.0,4670.0,12368.0,10.0,191600.0,47276.0,8648.0,37625.0,9371.0,1685.0,11.0,72707.0,13453.0,3.0,31909.0,22836.0,Galvez,2,2023-12-18,El Financiero,30
10.0,10943.0,28000.0,66500.0,2174.0,5725.0,13433.0,10.0,154100.0,36076.0,9071.0,28250.0,6571.0,1790.0,11.0,62464.0,11990.0,4.0,47399.0,24976.0,Galvez,2,2023-12-19,GEA-ISA,30
13.0,11343.0,32763.0,78231.0,1845.0,5404.0,12609.0,12.0,105900.0,22742.0,7974.0,17088.0,3680.0,1415.0,9.0,56195.0,16010.0,6.0,1042838.0,347613.0,Galvez,2,2023-12-20,Mendoza Blanco,23
17.0,13784.0,36801.0,98920.0,1624.0,4321.0,11670.0,13.0,116500.0,31342.0,10224.0,17668.0,5065.0,1697.0,4.0,44851.0,22426.0,6.0,2361376.0,787125.0,Galvez,2,2023-12-21,Mitofsky,25
14.0,10713.0,28993.0,77096.0,1508.0,4135.0,10812.0,10.0,164900.0,49000.0,13042.0,32980.0,9800.0,2608.0,6.0,55072.0,19393.0,5.0,2360150.0,954713.0,Galvez,2,2023-12-22,Parametría,26
11.0,7413.0,21969.0,52757.0,1347.0,3985.0,9611.0,9.0,235500.0,68700.0,14096.0,52700.0,15490.0,3152.0,13.0,57934.0,10961.0,3.0,1015777.0,511788.0,Galvez,2,2023-12-23,Simo,23
11.0,7605.0,25645.0,65110.0,1379.0,4598.0,11670.0,7.0,191000.0,51400.0,10967.0,54333.0,14217.0,3102.0,19.0,67844.0,7066.0,2.0,78758.0,78758.0,Galvez,2,2023-12-24,Citibanamex,24
130.0,18833.0,121744.0,341867.0,492.0,2033.0,5698.0,35.0,278500.0,78093.0,21491.0,19100.0,4870.0,1335.0,16.0,215787.0,33536.0,26.0,3075200.0,157501.0,Galvez,2,2024-01-15,Berumen,27
138.0,21048.0,134188.0,372433.0,451.0,2243.0,6036.0,45.0,430100.0,94835.0,30178.0,21353.0,4173.0,1419.0,27.0,265986.0,19822.0,27.0,4195754.0,430798.0,Galvez,2,2024-01-16,Demotecnia,14
44.0,22822.0,61370.0,166666.0,965.0,2762.0,7447.0,30.0,357200.0,60310.0,21536.0,23813.0,4021.0,1436.0,26.0,213735.0,16427.0,7.0,1245841.0,315059.0,Galvez,2,2024-01-17,El Financiero,32
46.0,23987.0,58643.0,160904.0,992.0,2479.0,6782.0,25.0,216500.0,45416.0,14500.0,16760.0,3543.0,1145.0,20.0,152679.0,15023.0,8.0,230187.0,51796.0,Galvez,2,2024-01-18,Enkoll,27
50.0,15208.0,49384.0,131697.0,626.0,1994.0,5323.0,26.0,166900.0,30240.0,13561.0,13049.0,2469.0,1049.0,18.0,107182.0,12098.0,13.0,248245.0,45056.0,Galvez,2,2024-01-19,Mendoza Blanco,24
36.0,14823.0,48579.0,131267.0,1529.0,4737.0,13009.0,20.0,140600.0,21992.0,11969.0,16944.0,2724.0,1455.0,13.0,74694.0,12769.0,9.0,102245.0,48656.0,Galvez,2,2024-01-20,Mitofsky,27
12.0,11374.0,35798.0,96709.0,1983.0,6194.0,16805.0,11.0,104300.0,17865.0,8117.0,19561.0,3324.0,1563.0,6.0,36941.0,12314.0,1.0,41000.0,41000.0,Galvez,2,2024-01-21,Simo,22
111.0,14775.0,35389.0,87957.0,268.0,645.0,1605.0,9.0,93000.0,24374.0,7965.0,20950.0,5580.0,1820.0,11.0,91428.0,16645.0,3.0,12100.0,4033.0,Galvez,2,2024-01-31,Actual Oraculus,30
