XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-09-15,Enkoll,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-09-16,GEA-ISA,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-15,Covarrubias,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-16,El FInanciero,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-17,Enkoll,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-18,Mendoza Blanco,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-19,Mitofsky,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-20,Parametría,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-10-21,Simo,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-15,Buendía y Márquez,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-16,Covarrubias,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-17,Demotecnia,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-18,El Financiero,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-19,Enkoll,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-20,Mendoza Blanco,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-21,Mitofsky,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-22,Parametría,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-11-23,Reforma,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-15,Berumen,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-16,Covarrubias,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-17,Demotecnia,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-18,El Financiero,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-19,GEA-ISA,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-20,Mendoza Blanco,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-21,Mitofsky,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-22,Parametría,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-23,Simo,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,5,2023-12-24,Citibanamex,11
49.0,7997.0,1379.0,4384.0,662.0,108.0,355.0,39.0,10871.0,2899.0,887.0,1124.0,307.0,90.0,20.0,75555.0,14699.0,6.0,476482.0,475928.0,Maynez,5,2024-01-15,Berumen,3
62.0,9431.0,1638.0,5143.0,772.0,128.0,413.0,49.0,13326.0,3536.0,1141.0,1370.0,371.0,116.0,22.0,78091.0,15967.0,6.0,476482.0,475928.0,Maynez,5,2024-01-16,Demotecnia,2
53.0,6598.0,1440.0,4264.0,672.0,144.0,428.0,44.0,11107.0,3151.0,1131.0,1246.0,352.0,138.0,18.0,77449.0,17383.0,7.0,480408.0,477193.0,Maynez,5,2024-01-17,El Financiero,10
47.0,5662.0,1332.0,3909.0,644.0,147.0,435.0,42.0,11379.0,3313.0,1298.0,1326.0,380.0,163.0,19.0,38655.0,9414.0,6.0,480795.0,477492.0,Maynez,5,2024-01-18,Enkoll,2
51.0,5478.0,1518.0,4499.0,564.0,154.0,455.0,48.0,14771.0,3833.0,1558.0,1444.0,395.0,168.0,32.0,61434.0,8623.0,8.0,481245.0,477717.0,Maynez,5,2024-01-19,Mendoza Blanco,5
49.0,5187.0,1542.0,4415.0,570.0,168.0,471.0,48.0,15505.0,3510.0,1716.0,1526.0,359.0,185.0,31.0,60719.0,8867.0,7.0,5660.0,2132.0,Maynez,5,2024-01-20,Mitofsky,5
46.0,5224.0,1629.0,4667.0,607.0,182.0,513.0,48.0,16490.0,3697.0,1786.0,1625.0,377.0,192.0,38.0,71585.0,9088.0,10.0,6613.0,2449.0,Maynez,5,2024-01-21,Simo,4
31.0,11467.0,1769.0,4462.0,3008.0,460.0,784.0,50.0,18545.0,4977.0,1088.0,1747.0,491.0,101.0,14.0,11502.0,3775.0,0.0,0.0,0.0,Maynez,5,2024-02-15,Berumen,5
26.0,9537.0,1450.0,2917.0,2968.0,446.0,578.0,43.0,11329.0,3627.0,642.0,1257.0,401.0,72.0,13.0,10616.0,3574.0,0.0,0.0,0.0,Maynez,5,2024-02-16,Buendía y Márquez,4
9.0,5701.0,833.0,1046.0,2742.0,410.0,468.0,40.0,11493.0,4196.0,598.0,1417.0,507.0,76.0,15.0,13045.0,3978.0,0.0,0.0,0.0,Maynez,5,2024-02-17,Demotecnia,2
7.0,5702.0,821.0,913.0,3345.0,471.0,530.0,39.0,10134.0,3688.0,550.0,1259.0,448.0,71.0,11.0,7972.0,2710.0,0.0,0.0,0.0,Maynez,5,2024-02-18,El Financiero,8
10.0,2342.0,265.0,556.0,1562.0,178.0,319.0,40.0,8698.0,2851.0,532.0,1100.0,360.0,69.0,11.0,7556.0,2571.0,0.0,0.0,0.0,Maynez,5,2024-02-19,Mitofsky,5
10.0,1808.0,259.0,669.0,1384.0,176.0,356.0,41.0,7318.0,2234.0,541.0,937.0,289.0,68.0,13.0,10671.0,2970.0,0.0,0.0,0.0,Maynez,5,2024-02-20,Simo,3
34.0,1731.0,1616.0,3731.0,251.0,240.0,539.0,28.0,28891.0,4437.0,3545.0,5229.0,799.0,693.0,24.0,37900.0,7686.0,17.0,18485000.0,2608289.0,Maynez,5,2024-03-15,Altica,6
32.0,1581.0,1447.0,3220.0,247.0,227.0,493.0,32.0,35213.0,7216.0,4184.0,5109.0,1004.0,717.0,26.0,23154.0,4397.0,18.0,19141000.0,2854789.0,Maynez,5,2024-03-16,Berumen,4
30.0,1527.0,1363.0,2975.0,252.0,226.0,482.0,33.0,43138.0,9422.0,4990.0,6202.0,1316.0,824.0,28.0,21482.0,3779.0,17.0,6941000.0,1562025.0,Maynez,5,2024-03-17,Covarrubias,5
32.0,2809.0,1469.0,3678.0,388.0,227.0,535.0,39.0,55864.0,10738.0,5354.0,6347.0,1255.0,746.0,28.0,27604.0,4800.0,24.0,9101000.0,1747150.0,Maynez,5,2024-03-18,Demotecnia,2
35.0,2896.0,1634.0,4108.0,381.0,228.0,560.0,46.0,78060.0,16212.0,5717.0,8162.0,1718.0,627.0,31.0,41573.0,7181.0,26.0,9676000.0,1780817.0,Maynez,5,2024-03-19,El Financiero,7
37.0,3221.0,1913.0,4674.0,400.0,247.0,594.0,45.0,91716.0,19337.0,6386.0,10246.0,2187.0,735.0,32.0,65919.0,10512.0,24.0,9495000.0,1889417.0,Maynez,5,2024-03-20,GEA-ISA,4
41.0,3566.0,2076.0,5136.0,411.0,247.0,605.0,46.0,104053.0,20462.0,6288.0,11307.0,2256.0,712.0,30.0,76300.0,12928.0,23.0,8772000.0,1575917.0,Maynez,5,2024-03-21,Mendoza Blanco,6
43.0,3526.0,2188.0,5464.0,392.0,252.0,627.0,47.0,108321.0,20019.0,6962.0,11669.0,2159.0,776.0,28.0,84261.0,14804.0,17.0,4640000.0,1205292.0,Maynez,5,2024-03-22,Mitofsky,5
40.0,2248.0,1957.0,4826.0,262.0,239.0,604.0,43.0,99102.0,18493.0,6684.0,11495.0,2095.0,808.0,27.0,77957.0,13849.0,13.0,2524000.0,958417.0,Maynez,5,2024-03-23,Reforma,7
37.0,2654.0,1904.0,5232.0,368.0,261.0,746.0,39.0,84705.0,13328.0,6398.0,10658.0,1653.0,836.0,29.0,78845.0,13099.0,12.0,1889000.0,776250.0,Maynez,5,2024-03-24,Citibanamex,5
61.0,7204.0,16885.0,120982.0,601.0,1502.0,10123.0,51.0,265762.0,24203.0,35262.0,26584.0,2502.0,3660.0,45.0,793428.0,85734.0,7.0,5908689.0,2954689.0,Maynez,5,2024-04-15,Altica,5
56.0,7110.0,17208.0,126085.0,658.0,1652.0,11983.0,55.0,294794.0,25605.0,38753.0,27259.0,2471.0,3840.0,47.0,861378.0,88121.0,5.0,2598689.0,1299689.0,Maynez,5,2024-04-16,Berumen,4
55.0,5639.0,8261.0,85516.0,520.0,767.0,7998.0,55.0,252090.0,17461.0,20224.0,22514.0,1567.0,1781.0,45.0,823384.0,86197.0,5.0,2598689.0,1299689.0,Maynez,5,2024-04-17,Covarrubias,7
47.0,4494.0,5647.0,56793.0,500.0,654.0,6695.0,53.0,230490.0,15377.0,17219.0,21442.0,1437.0,1579.0,42.0,706736.0,80307.0,4.0,2561689.0,1296189.0,Maynez,5,2024-04-18,El Financiero,8
51.0,5881.0,6206.0,62265.0,573.0,668.0,6837.0,53.0,238747.0,17963.0,17458.0,22193.0,1672.0,1600.0,45.0,807360.0,87295.0,3.0,2561000.0,1295500.0,Maynez,5,2024-04-19,Enkoll,6
53.0,6301.0,6138.0,60698.0,593.0,649.0,6581.0,53.0,215786.0,17608.0,19913.0,20105.0,1640.0,1823.0,75.0,1216368.0,84017.0,2.0,61000.0,61000.0,Maynez,5,2024-04-20,GEA-ISA,6
60.0,6710.0,6254.0,55209.0,544.0,509.0,4466.0,53.0,180457.0,16712.0,17295.0,17161.0,1566.0,1605.0,76.0,1096171.0,70869.0,5.0,127109.0,83036.0,Maynez,5,2024-04-21,Mendoza Blanco,11
76.0,8908.0,6840.0,63975.0,575.0,472.0,4361.0,56.0,196506.0,17628.0,21091.0,17635.0,1569.0,1875.0,79.0,1252940.0,83444.0,6.0,157109.0,113036.0,Maynez,5,2024-04-22,Mitofsky,9
81.0,8726.0,6758.0,61723.0,526.0,436.0,3907.0,57.0,219284.0,22829.0,23217.0,19308.0,2018.0,2042.0,83.0,1287494.0,80562.0,6.0,150109.0,83036.0,Maynez,5,2024-04-23,Parametría,8
77.0,6971.0,5664.0,50303.0,419.0,373.0,3224.0,58.0,198825.0,20690.0,22769.0,17301.0,1805.0,1986.0,85.0,1191173.0,69662.0,6.0,150109.0,83036.0,Maynez,5,2024-04-24,Citibanamex,7
72.0,30800.0,12531.0,75832.0,2226.0,893.0,5301.0,58.0,164335.0,15899.0,14680.0,13710.0,1340.0,1231.0,60.0,536861.0,44971.0,10.0,3830000.0,999500.0,Maynez,5,2024-05-15,Altica,7
71.0,49051.0,18547.0,95830.0,3381.0,1275.0,6598.0,59.0,146485.0,16356.0,12360.0,12112.0,1359.0,1028.0,59.0,570294.0,48870.0,12.0,3919598.0,1009020.0,Maynez,5,2024-05-16,Berumen,9
76.0,48075.0,19315.0,100692.0,3068.0,1226.0,6405.0,61.0,160484.0,18562.0,13867.0,12925.0,1508.0,1130.0,62.0,609352.0,50183.0,13.0,3964598.0,1054020.0,Maynez,5,2024-05-17,Mitofsky,10
