XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
14.0,15994.0,28027.0,104294.0,2285.0,4004.0,14899.0,13.0,241100.0,26274.0,12547.0,38848.0,4249.0,1993.0,8.0,76445.0,19111.0,1.0,8800.0,8800.0,Claudia,2,2023-09-15,Enkoll,49
17.0,21279.0,36464.0,138620.0,2524.0,4270.0,16311.0,16.0,253000.0,26357.0,12955.0,37633.0,4022.0,1858.0,7.0,80571.0,23480.0,2.0,16100.0,16100.0,Claudia,2,2023-09-16,GEA-ISA,53
11.0,7166.0,11714.0,35600.0,1277.0,2128.0,6440.0,19.0,113400.0,15088.0,9638.0,11738.0,1567.0,1014.0,16.0,144299.0,15726.0,3.0,97600.0,88300.0,Claudia,2,2023-10-15,Covarrubias,59
9.0,7437.0,11450.0,35200.0,1700.0,2742.0,8333.0,14.0,109800.0,14255.0,7729.0,15810.0,2086.0,1166.0,16.0,150168.0,16705.0,2.0,84100.0,84100.0,Claudia,2,2023-10-16,El FInanciero,46
8.0,10869.0,13800.0,36700.0,2542.0,3427.0,9313.0,11.0,55800.0,9021.0,6250.0,11421.0,1761.0,1174.0,7.0,28084.0,6987.0,3.0,10341.0,7720.0,Claudia,2,2023-10-17,Enkoll,50
9.0,11086.0,14233.0,35600.0,2366.0,3118.0,7805.0,13.0,104100.0,20959.0,11453.0,16788.0,3383.0,1822.0,3.0,38702.0,20735.0,3.0,8641.0,6020.0,Claudia,2,2023-10-18,Mendoza Blanco,55
13.0,13587.0,18111.0,48900.0,1924.0,2767.0,7336.0,18.0,158200.0,26545.0,14773.0,19892.0,3574.0,1883.0,8.0,71404.0,23879.0,3.0,37100.0,20250.0,Claudia,2,2023-10-19,Mitofsky,48
16.0,13475.0,19321.0,53300.0,1588.0,2358.0,6497.0,23.0,108700.0,15645.0,12092.0,9293.0,1345.0,1047.0,16.0,60579.0,8423.0,4.0,46100.0,23050.0,Claudia,2,2023-10-20,Parametría,60
14.0,7347.0,14615.0,41100.0,1050.0,2088.0,5871.0,20.0,154200.0,25609.0,12460.0,16507.0,2735.0,1280.0,18.0,61636.0,7077.0,2.0,12400.0,6200.0,Claudia,2,2023-10-21,Simo,57
7.0,6621.0,10362.0,33100.0,1666.0,2882.0,8720.0,12.0,84574.0,9883.0,6279.0,13234.0,1968.0,1128.0,9.0,95724.0,21468.0,3.0,10468.0,3489.0,Claudia,2,2023-11-15,Buendía y Márquez,48
9.0,5553.0,10760.0,28458.0,1200.0,2501.0,6565.0,11.0,43900.0,9223.0,6128.0,8554.0,1945.0,1169.0,9.0,66505.0,15625.0,4.0,16867.0,9888.0,Claudia,2,2023-11-16,Covarrubias,57
12.0,8213.0,15527.0,45358.0,1390.0,2645.0,7845.0,16.0,62200.0,8979.0,8449.0,7629.0,1105.0,1046.0,11.0,40872.0,7480.0,1.0,6399.0,6399.0,Claudia,2,2023-11-17,Demotecnia,66
6.0,10200.0,12667.0,52900.0,7160.0,6693.0,33780.0,11.0,124600.0,20813.0,9365.0,46900.0,8224.0,2713.0,8.0,99797.0,42952.0,0.0,0.0,0.0,Claudia,2,2023-11-18,El Financiero,50
7.0,8977.0,12804.0,51500.0,6830.0,6467.0,32750.0,10.0,113600.0,19445.0,8016.0,46075.0,8131.0,2614.0,12.0,117508.0,43334.0,4.0,28678.0,7170.0,Claudia,2,2023-11-19,Enkoll,49
12.0,7369.0,17904.0,49300.0,1228.0,2984.0,8217.0,18.0,74100.0,10637.0,12587.0,8125.0,1170.0,1352.0,15.0,69593.0,10064.0,8.0,38184.0,9546.0,Claudia,2,2023-11-20,Mendoza Blanco,54
14.0,10932.0,24259.0,63000.0,1566.0,3462.0,8992.0,17.0,71400.0,10400.0,12651.0,8250.0,1212.0,1427.0,16.0,72351.0,9964.0,7.0,434591.0,144072.0,Claudia,2,2023-11-21,Mitofsky,50
15.0,10186.0,25097.0,65800.0,1346.0,3336.0,8754.0,18.0,78400.0,10801.0,10478.0,8473.0,1190.0,1149.0,18.0,64486.0,7066.0,5.0,592083.0,225194.0,Claudia,2,2023-11-22,Parametría,52
14.0,8637.0,20849.0,61600.0,1234.0,2978.0,8800.0,25.0,113300.0,14749.0,13877.0,9116.0,1186.0,1122.0,10.0,40169.0,8975.0,5.0,180292.0,87930.0,Claudia,2,2023-11-23,Reforma,46
24.0,8633.0,24311.0,64800.0,730.0,2047.0,5449.0,28.0,101100.0,14909.0,10216.0,7140.0,1059.0,725.0,23.0,78191.0,6697.0,11.0,298438.0,64981.0,Claudia,2,2023-12-15,Berumen,51
20.0,7836.0,22097.0,61400.0,861.0,2390.0,6688.0,31.0,92100.0,17865.0,9749.0,5950.0,1128.0,633.0,18.0,46841.0,5453.0,13.0,144680.0,21974.0,Claudia,2,2023-12-16,Covarrubias,55
11.0,6106.0,16470.0,45200.0,1107.0,2996.0,8107.0,26.0,74600.0,15145.0,7712.0,5638.0,1093.0,585.0,15.0,44708.0,5999.0,10.0,113118.0,23711.0,Claudia,2,2023-12-17,Demotecnia,65
12.0,5343.0,14922.0,43000.0,941.0,2615.0,7300.0,19.0,61300.0,8523.0,5574.0,6306.0,898.0,584.0,13.0,40148.0,6401.0,4.0,58300.0,14575.0,Claudia,2,2023-12-18,El Financiero,52
19.0,9602.0,19975.0,59800.0,980.0,2120.0,6377.0,25.0,157100.0,18445.0,10356.0,11997.0,1413.0,804.0,10.0,29313.0,5863.0,4.0,523446.0,130862.0,Claudia,2,2023-12-19,GEA-ISA,52
16.0,8672.0,17473.0,47700.0,1031.0,2289.0,6027.0,21.0,145900.0,17448.0,11075.0,12464.0,1526.0,1079.0,16.0,58974.0,6548.0,10.0,615748.0,146245.0,Claudia,2,2023-12-20,Mendoza Blanco,54
13.0,5632.0,14376.0,35300.0,871.0,2278.0,5575.0,23.0,111500.0,11595.0,12006.0,9267.0,1039.0,1075.0,20.0,73021.0,7142.0,13.0,417284.0,61810.0,Claudia,2,2023-12-21,Mitofsky,50
